year,fullname,firstname,lastname,position,Height,weight,fortyyd,vertical,broad,bench,college,nflgrade,round,pick
2014,Jadeveon Clowney,Jadeveon,Clowney,DE,6'5,266,4.53,37.5,124,21,South Carolina,7.5,1,1
2015,Leonard Williams,Leonard,Williams,DE,6'5,302,4.97,29.5,106,N/A,USC,7.4,1,6
2015,Amari Cooper,Amari,Cooper,WR,6'1,211,4.42,33,120,N/A,Alabama,7,1,4
2014,Sammy Watkins,Sammy,Watkins,WR,6'1,211,4.43,34,126,16,Clemson,7,1,4
2015,Shane Ray,Shane,Ray,DE,6'3,245,N/A,N/A,N/A,21,Missouri,6.8,1,23
2014,Greg Robinson,Greg,Robinson,OT,6'5,332,4.92,28.5,113,32,Auburn,6.8,1,2
2014,Khalil Mack,Khalil,Mack,OLB,6'3,251,4.65,40,128,23,Buffalo,6.7,1,5
2014,Jake Matthews,Jake ,Matthews,OT,6'5,308,5.07,30.5,105,24,Texas A&M,6.7,1,6
2014,Anthony Barr,Anthony,Barr,OLB,6'5,255,4.66,34.5,119,15,UCLA,6.6,1,9
2015,Jameis Winston,Jameis,Winston,QB,6'4,231,4.97,28.5,103,N/A,Florida St.,6.5,1,1
2014,C.J. Mosley,C.J.,Mosley,ILB,6'2,234,N/A,35,118,N/A,Alabama,6.5,1,17
2015,Landon Collins,Landon,Collins,SS,6'0,228,4.53,35,120,N/A,Alabama,6.4,2,33
2015,Randy Gregory,Randy,Gregory,OLB,6'5,235,4.64,36.5,125,24,Nebraska,6.4,2,60
2015,Marcus Mariota,Marcus,Mariota,QB,6'4,222,4.52,36,121,N/A,Oregon,6.4,1,2
2015,Brandon Scherff,Brandon,Scherff,OG,6'5,319,5.05,N/A,N/A,23,Iowa,6.4,1,5
2015,Danny Shelton,Danny,Shelton,NT,6'2,339,5.64,30.5,95,34,Washington,6.4,1,12
2014,Kelvin Benjamin,Kelvin,Benjamin,WR,6'5,240,4.61,32.5,119,13,Florida St.,6.4,1,28
2014,Blake Bortles,Blake,Bortles,QB,6'5,232,4.93,32.5,115,N/A,Central Florida,6.4,1,3
2014,Eric Ebron,Eric,Ebron,TE,6'4,250,4.6,32,120,24,North Carolina,6.4,1,10
2015,Todd Gurley,Todd,Gurley,RB,6'1,222,N/A,N/A,N/A,17,Georgia,6.3,1,10
2014,Teddy Bridgewater,Teddy,Bridgewater,QB,6'2,214,N/A,30,113,N/A,Louisville,6.3,1,32
2014,Justin Gilbert,Justin,Gilbert,CB,6'0,202,4.37,35.5,126,20,Oklahoma St.,6.3,1,8
2015,Arik Armstead,Arik,Armstead,DT,6'7,292,5.1,34,117,24,Oregon,6.2,1,17
2015,La'el Collins,La'el,Collins,OT,6'4,305,5.12,27,108,21,LSU,6.2,Undrafted,Undrafted
2015,Melvin Gordon,Melvin,Gordon,RB,6'1,215,4.52,35,126,19,Wisconsin,6.2,1,15
2015,DeVante Parker,DeVante,Parker,WR,6'3,209,4.45,36.5,125,17,Louisville,6.2,1,14
2015,Andrus Peat,Andrus,Peat,OT,6'7,313,5.18,31,105,N/A,Stanford,6.2,1,13
2015,Jordan Phillips,Jordan,Phillips,NT,6'5,329,5.17,30,105,28,Oklahoma,6.2,2,52
2015,Trae Waynes,Trae,Waynes,CB,6'0,186,4.31,38,122,19,Michigan St.,6.2,1,11
2015,Kevin White,Kevin,White,WR,6'3,215,4.35,36.5,123,23,West Virginia,6.2,1,7
2014,Mike Evans,Mike,Evans,WR,6'5,231,4.53,37,N/A,12,Texas A&M,6.2,1,7
2014,Carlos Hyde,Carlos,Hyde,RB,6'0,230,4.66,34.5,114,19,Ohio St.,6.2,2,57
2014,Marqise Lee,Marqise,Lee,WR,6'0,192,4.52,38,127,N/A,USC,6.2,2,39
2014,Taylor Lewan,Taylor,Lewan,OT,6'7,309,4.87,30.5,117,29,Michigan,6.2,1,11
